CUSTOMERID;TENURE;CONTRACT;MONTHLYCHARGES;INTERNETSERVICE;TECHSUPPORT;ONLINESECURITY;ONLINEBACKUP;PAYMENTMETHOD;PAPERLESSBILLING;SENIORCITIZEN;PARTNER;DEPENDENTS;SCORE_RISQUE;SEGMENT_STRATEGIQUE
7717-BICXI;60;Two year;20,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
4878-BUNFV;42;Two year;20,7;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5480-XTFFL;31;Two year;21;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
9838-BFCQT;72;Two year;26,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5804-JMYIO;39;Two year;19,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
9371-BITHB;52;Two year;19,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8922-NPKBJ;42;Two year;19,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
7225-IILWY;68;Two year;25,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8129-GMVGI;56;Two year;20,05;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3896-ZVNET;24;Two year;24,7;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8043-PNYSD;63;Two year;19,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8173-RXAYP;24;Two year;19,7;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5322-ZSMZY;31;Two year;25,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3769-MHZNV;33;Two year;20,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
6651-RLGGM;67;Two year;26,3;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
7644-OMVMY;0;Two year;19,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8380-MQINP;55;Two year;20,3;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
6923-AQONU;23;Two year;20,9;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3620-EHIMZ;52;Two year;19,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3213-VVOLG;0;Two year;25,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5854-KSRBJ;70;Two year;25,4;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8874-EJNSR;39;Two year;25,2;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
6963-KQYQB;70;Two year;24,05;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1207-BLKSA;52;Two year;23,05;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
9625-RZFUK;63;Two year;19,7;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2520-SGTTA;0;Two year;20;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
0603-TPMIB;59;Two year;25,45;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
7980-MHFLQ;72;Two year;24,9;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
6199-IPCAO;29;Two year;26,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1574-DYCWE;51;Two year;19,95;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1223-UNPKS;20;Two year;20,05;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5549-ZGHFB;50;Two year;24,95;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2207-RYYRL;52;Two year;24,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8727-JQFHV;57;Two year;20,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2208-NKVVH;43;Two year;24,25;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2892-GESUL;18;Two year;19,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1270-XKUCC;30;Two year;19,7;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3810-PJUHR;70;Two year;25,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1709-EJDOX;47;Two year;19,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8514-VZHEB;59;Two year;19,5;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
9251-AWQGT;48;Two year;20;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
4641-FROLU;30;Two year;19,3;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8215-NGSPE;42;Two year;20;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3389-KTRXV;23;Two year;23,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
4779-ZGICK;48;Two year;23,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3460-TJBWI;24;Two year;24,2;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
9173-IVZVP;53;Two year;20,9;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
0625-AFOHS;29;Two year;20,2;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8946-BFWSG;63;Two year;25,25;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
4609-KNNWG;27;Two year;19,9;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8164-OCKUJ;59;Two year;20,6;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1092-WPIVQ;18;Two year;25,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2400-FEQME;55;Two year;20,5;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2848-YXSMW;72;Two year;19,4;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2984-RGEYA;69;Two year;19,75;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2146-EGVDT;59;Two year;19,3;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3957-SQXML;34;Two year;24,95;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3170-NMYVV;50;Two year;20,15;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1862-QRWPE;48;Two year;20,65;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1403-GYAFU;70;Two year;20,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2075-PUEPR;55;Two year;19,35;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9574-BOSMD;68;Two year;25,4;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8165-ZJRNM;72;Two year;23,75;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8755-OGKNA;57;Two year;19,5;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3088-FVYWK;53;Two year;25,55;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8434-VGEQQ;61;Two year;20,55;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9650-VBUOG;38;Two year;25,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6169-PPETC;35;Two year;20,5;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3261-CQXOL;71;Two year;25,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6621-NRZAK;63;Two year;20;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6980-IMXXE;69;Two year;20,2;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0040-HALCW;54;Two year;20,4;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1299-AURJA;70;Two year;24,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8780-IHCRN;63;Two year;24,65;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0042-RLHYP;69;Two year;19,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7684-XSZIY;72;Two year;24,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0640-YJTPY;72;Two year;21;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7876-DNYAP;69;Two year;19,8;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3070-FNFZQ;23;Two year;20,4;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
5939-SXWHM;48;Two year;26,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0354-VXMJC;23;Two year;19,6;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8917-SZTTJ;60;Two year;19,65;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7010-BRBUU;72;Two year;24,1;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9938-PRCVK;41;Two year;19,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7696-CFTAT;37;Two year;19,8;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8229-BUJHX;71;Two year;20,5;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6181-AXXYF;72;Two year;24,75;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4193-IBKSW;72;Two year;24,75;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8966-KZXXA;36;Two year;25,1;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0794-YVSGE;72;Two year;20,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3173-WSSUE;71;Two year;19,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1098-KFQEC;55;Two year;19,4;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
5970-GHJAW;46;Two year;19,95;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4195-PNGZS;69;Two year;24,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6479-SZPLM;36;Two year;19,45;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4277-BWBML;72;Two year;19,95;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7064-JHXCE;62;Two year;20,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
5465-BUBFA;41;Two year;19,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9081-WWXKP;47;Two year;20,25;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2050-ONYDQ;65;Two year;26;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0962-CQPWQ;62;Two year;20,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7850-THJMU;26;Two year;19,65;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3457-PQBYH;58;Two year;20,3;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3642-BYHDO;71;Two year;19,9;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6285-FTQBF;72;Two year;25,55;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9257-AZMTZ;52;Two year;20,1;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3678-MNGZX;68;Two year;19,95;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0174-QRVVY;71;Two year;25,35;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0464-WJTKO;72;Two year;20,1;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
5884-FBCTL;72;Two year;25,1;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9537-JALFH;69;Two year;19,9;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4742-TXUEX;47;Two year;19,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4979-HPRFL;56;Two year;24,15;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2642-MAWLJ;36;Two year;20,25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1166-PQLGG;72;Two year;19,55;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9975-GPKZU;46;Two year;19,75;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1052-QJIBV;71;Two year;19,9;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8224-KDLKN;72;Two year;25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9068-FHQHD;40;Two year;20,15;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6582-PLFUU;51;Two year;19,55;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0264-CNITK;71;Two year;20,1;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6928-ONTRW;72;Two year;19,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1399-OUPJN;57;Two year;19,75;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6857-TKDJV;67;Two year;24,65;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0902-XKXPN;69;Two year;20,2;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7673-BQGKU;69;Two year;20,15;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0394-YONDK;70;Two year;25,15;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0485-ZBSLN;65;Two year;24,75;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0562-HKHML;71;Two year;23,9;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4817-KEQSP;71;Two year;19,85;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1555-HAPSU;71;Two year;23,9;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0402-OAMEN;72;Two year;24,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8750-QWZAJ;70;Two year;19,8;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6340-DACFT;50;Two year;20,55;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4086-WITJG;71;Two year;19,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6762-NSODU;46;Two year;19,4;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2236-HILPA;62;Two year;20,65;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1830-IPXVJ;61;Two year;19,75;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2729-VNVAP;33;Two year;19,8;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9800-OUIGR;66;Two year;20;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4896-CPRPF;35;Two year;25,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7634-HLQJR;47;Two year;20,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4534-WGCIR;58;Two year;25,15;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7711-GQBZC;71;Two year;24,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6976-BWGLQ;72;Two year;25,2;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2511-ALLCS;35;Two year;24,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3190-ITQXP;46;Two year;20,25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7328-ZJAJO;59;Two year;19,5;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7268-WNTCP;62;Two year;20,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7033-CLAMM;48;Two year;20,2;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3451-VAWLI;35;Two year;19,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3777-XROBG;58;Two year;19,55;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3472-QPRCH;40;Two year;25,25;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0480-KYJVA;72;Two year;24,25;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
2346-LOCWC;58;Two year;20,5;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4957-SREEC;70;Two year;20,35;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
9286-BHDQG;72;Two year;45,25;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1775-KWJKQ;72;Two year;89,85;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
0123-CRBRT;61;Two year;88,1;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
7408-OFWXJ;72;Two year;89,8;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1371-DWPAZ;0;Two year;56,05;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
1084-MNSMJ;51;Two year;85,5;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3071-MVJCD;72;Two year;82,3;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
6614-YOLAC;71;Two year;58,65;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3399-BMLVW;51;Two year;60,5;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4737-AQCPU;72;Two year;72,1;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
3795-GWTRD;63;Two year;75,55;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
4139-DETXS;72;Two year;64,45;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
5377-NDTOU;71;Two year;91,05;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
0839-JTCUD;66;Two year;89,9;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
8619-IJNDK;71;Two year;64,05;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
7401-JIXNM;54;Two year;91,3;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;Yes;0;Surveillance Relationnelle
